O*NET-SOC Code	Element ID	Element Name (SP)	Scale ID	Data Value
11-1011.01	1.B.1.a	Realista	OI	2.00
11-1011.01	1.B.1.b	Investigadora	OI	3.00
11-1011.01	1.B.1.c	Artística	OI	2.33
11-1011.01	1.B.1.d	Social	OI	5.00
11-1011.01	1.B.1.e	Emprendedora	OI	6.66
11-1011.01	1.B.1.f	Convencional	OI	5.66
11-1011.01	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-1011.01	1.B.1.h	Punto culminante del segundo interés	IH	6.00
11-1011.01	1.B.1.i	Punto culminante del tercer interés	IH	4.00
11-1011.02	1.B.1.a	Realista	OI	2.66
11-1011.02	1.B.1.b	Investigadora	OI	3.33
11-1011.02	1.B.1.c	Artística	OI	2.33
11-1011.02	1.B.1.d	Social	OI	4.33
11-1011.02	1.B.1.e	Emprendedora	OI	7.00
11-1011.02	1.B.1.f	Convencional	OI	5.66
11-1011.02	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-1011.02	1.B.1.h	Punto culminante del segundo interés	IH	6.00
11-1011.02	1.B.1.i	Punto culminante del tercer interés	IH	4.00
11-2011.00	1.B.1.a	Realista	OI	2.00
11-2011.00	1.B.1.b	Investigadora	OI	3.33
11-2011.00	1.B.1.c	Artística	OI	6.33
11-2011.00	1.B.1.d	Social	OI	4.00
11-2011.00	1.B.1.e	Emprendedora	OI	5.33
11-2011.00	1.B.1.f	Convencional	OI	3.66
11-2011.00	1.B.1.g	Punto culminante del primer interés	IH	3.00
11-2011.00	1.B.1.h	Punto culminante del segundo interés	IH	5.00
11-2011.00	1.B.1.i	Punto culminante del tercer interés	IH	0.00
11-2021.00	1.B.1.a	Realista	OI	2.00
11-2021.00	1.B.1.b	Investigadora	OI	2.00
11-2021.00	1.B.1.c	Artística	OI	3.00
11-2021.00	1.B.1.d	Social	OI	3.33
11-2021.00	1.B.1.e	Emprendedora	OI	6.33
11-2021.00	1.B.1.f	Convencional	OI	5.66
11-2021.00	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-2021.00	1.B.1.h	Punto culminante del segundo interés	IH	6.00
11-2021.00	1.B.1.i	Punto culminante del tercer interés	IH	0.00
11-2022.00	1.B.1.a	Realista	OI	1.66
11-2022.00	1.B.1.b	Investigadora	OI	2.00
11-2022.00	1.B.1.c	Artística	OI	2.33
11-2022.00	1.B.1.d	Social	OI	3.66
11-2022.00	1.B.1.e	Emprendedora	OI	7.00
11-2022.00	1.B.1.f	Convencional	OI	5.66
11-2022.00	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-2022.00	1.B.1.h	Punto culminante del segundo interés	IH	6.00
11-2022.00	1.B.1.i	Punto culminante del tercer interés	IH	0.00
11-3011.00	1.B.1.a	Realista	OI	2.00
11-3011.00	1.B.1.b	Investigadora	OI	2.66
11-3011.00	1.B.1.c	Artística	OI	2.00
11-3011.00	1.B.1.d	Social	OI	4.00
11-3011.00	1.B.1.e	Emprendedora	OI	6.33
11-3011.00	1.B.1.f	Convencional	OI	6.00
11-3011.00	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-3011.00	1.B.1.h	Punto culminante del segundo interés	IH	6.00
11-3011.00	1.B.1.i	Punto culminante del tercer interés	IH	4.00
11-3021.00	1.B.1.a	Realista	OI	4.33
11-3021.00	1.B.1.b	Investigadora	OI	5.00
11-3021.00	1.B.1.c	Artística	OI	2.00
11-3021.00	1.B.1.d	Social	OI	3.00
11-3021.00	1.B.1.e	Emprendedora	OI	6.00
11-3021.00	1.B.1.f	Convencional	OI	5.66
11-3021.00	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-3021.00	1.B.1.h	Punto culminante del segundo interés	IH	6.00
11-3021.00	1.B.1.i	Punto culminante del tercer interés	IH	2.00
11-3031.01	1.B.1.a	Realista	OI	2.00
11-3031.01	1.B.1.b	Investigadora	OI	3.00
11-3031.01	1.B.1.c	Artística	OI	2.00
11-3031.01	1.B.1.d	Social	OI	3.66
11-3031.01	1.B.1.e	Emprendedora	OI	7.00
11-3031.01	1.B.1.f	Convencional	OI	5.66
11-3031.01	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-3031.01	1.B.1.h	Punto culminante del segundo interés	IH	6.00
11-3031.01	1.B.1.i	Punto culminante del tercer interés	IH	0.00
11-3031.02	1.B.1.a	Realista	OI	1.66
11-3031.02	1.B.1.b	Investigadora	OI	2.66
11-3031.02	1.B.1.c	Artística	OI	2.00
11-3031.02	1.B.1.d	Social	OI	3.66
11-3031.02	1.B.1.e	Emprendedora	OI	6.66
11-3031.02	1.B.1.f	Convencional	OI	4.66
11-3031.02	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-3031.02	1.B.1.h	Punto culminante del segundo interés	IH	6.00
11-3031.02	1.B.1.i	Punto culminante del tercer interés	IH	4.00
11-3040.00	1.B.1.a	Realista	OI	1.66
11-3040.00	1.B.1.b	Investigadora	OI	2.66
11-3040.00	1.B.1.c	Artística	OI	2.66
11-3040.00	1.B.1.d	Social	OI	5.00
11-3040.00	1.B.1.e	Emprendedora	OI	6.33
11-3040.00	1.B.1.f	Convencional	OI	4.00
11-3040.00	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-3040.00	1.B.1.h	Punto culminante del segundo interés	IH	4.00
11-3040.00	1.B.1.i	Punto culminante del tercer interés	IH	6.00
11-3041.00	1.B.1.a	Realista	OI	1.66
11-3041.00	1.B.1.b	Investigadora	OI	2.66
11-3041.00	1.B.1.c	Artística	OI	2.66
11-3041.00	1.B.1.d	Social	OI	5.00
11-3041.00	1.B.1.e	Emprendedora	OI	6.33
11-3041.00	1.B.1.f	Convencional	OI	4.00
11-3041.00	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-3041.00	1.B.1.h	Punto culminante del segundo interés	IH	4.00
11-3041.00	1.B.1.i	Punto culminante del tercer interés	IH	6.00
11-3042.00	1.B.1.a	Realista	OI	1.66
11-3042.00	1.B.1.b	Investigadora	OI	3.00
11-3042.00	1.B.1.c	Artística	OI	2.33
11-3042.00	1.B.1.d	Social	OI	5.33
11-3042.00	1.B.1.e	Emprendedora	OI	6.33
11-3042.00	1.B.1.f	Convencional	OI	4.00
11-3042.00	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-3042.00	1.B.1.h	Punto culminante del segundo interés	IH	4.00
11-3042.00	1.B.1.i	Punto culminante del tercer interés	IH	6.00
11-3051.00	1.B.1.a	Realista	OI	3.66
11-3051.00	1.B.1.b	Investigadora	OI	2.66
11-3051.00	1.B.1.c	Artística	OI	2.00
11-3051.00	1.B.1.d	Social	OI	3.00
11-3051.00	1.B.1.e	Emprendedora	OI	6.66
11-3051.00	1.B.1.f	Convencional	OI	6.00
11-3051.00	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-3051.00	1.B.1.h	Punto culminante del segundo interés	IH	6.00
11-3051.00	1.B.1.i	Punto culminante del tercer interés	IH	0.00
11-3061.00	1.B.1.a	Realista	OI	1.66
11-3061.00	1.B.1.b	Investigadora	OI	2.66
11-3061.00	1.B.1.c	Artística	OI	3.00
11-3061.00	1.B.1.d	Social	OI	4.33
11-3061.00	1.B.1.e	Emprendedora	OI	5.66
11-3061.00	1.B.1.f	Convencional	OI	5.33
11-3061.00	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-3061.00	1.B.1.h	Punto culminante del segundo interés	IH	6.00
11-3061.00	1.B.1.i	Punto culminante del tercer interés	IH	4.00
11-3071.01	1.B.1.a	Realista	OI	3.66
11-3071.01	1.B.1.b	Investigadora	OI	2.33
11-3071.01	1.B.1.c	Artística	OI	1.66
11-3071.01	1.B.1.d	Social	OI	2.66
11-3071.01	1.B.1.e	Emprendedora	OI	6.33
11-3071.01	1.B.1.f	Convencional	OI	6.00
11-3071.01	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-3071.01	1.B.1.h	Punto culminante del segundo interés	IH	6.00
11-3071.01	1.B.1.i	Punto culminante del tercer interés	IH	0.00
11-3071.02	1.B.1.a	Realista	OI	4.00
11-3071.02	1.B.1.b	Investigadora	OI	2.00
11-3071.02	1.B.1.c	Artística	OI	1.66
11-3071.02	1.B.1.d	Social	OI	3.00
11-3071.02	1.B.1.e	Emprendedora	OI	6.33
11-3071.02	1.B.1.f	Convencional	OI	5.33
11-3071.02	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-3071.02	1.B.1.h	Punto culminante del segundo interés	IH	6.00
11-3071.02	1.B.1.i	Punto culminante del tercer interés	IH	1.00
11-9011.01	1.B.1.a	Realista	OI	5.66
11-9011.01	1.B.1.b	Investigadora	OI	3.00
11-9011.01	1.B.1.c	Artística	OI	2.66
11-9011.01	1.B.1.d	Social	OI	3.33
11-9011.01	1.B.1.e	Emprendedora	OI	6.33
11-9011.01	1.B.1.f	Convencional	OI	4.33
11-9011.01	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-9011.01	1.B.1.h	Punto culminante del segundo interés	IH	1.00
11-9011.01	1.B.1.i	Punto culminante del tercer interés	IH	6.00
11-9011.02	1.B.1.a	Realista	OI	5.33
11-9011.02	1.B.1.b	Investigadora	OI	3.33
11-9011.02	1.B.1.c	Artística	OI	2.00
11-9011.02	1.B.1.d	Social	OI	3.00
11-9011.02	1.B.1.e	Emprendedora	OI	6.33
11-9011.02	1.B.1.f	Convencional	OI	4.66
11-9011.02	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-9011.02	1.B.1.h	Punto culminante del segundo interés	IH	1.00
11-9011.02	1.B.1.i	Punto culminante del tercer interés	IH	6.00
11-9011.03	1.B.1.a	Realista	OI	5.33
11-9011.03	1.B.1.b	Investigadora	OI	3.33
11-9011.03	1.B.1.c	Artística	OI	2.00
11-9011.03	1.B.1.d	Social	OI	3.33
11-9011.03	1.B.1.e	Emprendedora	OI	6.33
11-9011.03	1.B.1.f	Convencional	OI	4.66
11-9011.03	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-9011.03	1.B.1.h	Punto culminante del segundo interés	IH	1.00
11-9011.03	1.B.1.i	Punto culminante del tercer interés	IH	6.00
11-9012.00	1.B.1.a	Realista	OI	6.66
11-9012.00	1.B.1.b	Investigadora	OI	3.00
11-9012.00	1.B.1.c	Artística	OI	2.00
11-9012.00	1.B.1.d	Social	OI	3.00
11-9012.00	1.B.1.e	Emprendedora	OI	5.33
11-9012.00	1.B.1.f	Convencional	OI	4.33
11-9012.00	1.B.1.g	Punto culminante del primer interés	IH	1.00
11-9012.00	1.B.1.h	Punto culminante del segundo interés	IH	5.00
11-9012.00	1.B.1.i	Punto culminante del tercer interés	IH	6.00
11-9021.00	1.B.1.a	Realista	OI	5.66
11-9021.00	1.B.1.b	Investigadora	OI	2.33
11-9021.00	1.B.1.c	Artística	OI	2.00
11-9021.00	1.B.1.d	Social	OI	2.66
11-9021.00	1.B.1.e	Emprendedora	OI	6.33
11-9021.00	1.B.1.f	Convencional	OI	5.00
11-9021.00	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-9021.00	1.B.1.h	Punto culminante del segundo interés	IH	1.00
11-9021.00	1.B.1.i	Punto culminante del tercer interés	IH	6.00
11-9031.00	1.B.1.a	Realista	OI	2.00
11-9031.00	1.B.1.b	Investigadora	OI	4.33
11-9031.00	1.B.1.c	Artística	OI	3.66
11-9031.00	1.B.1.d	Social	OI	6.66
11-9031.00	1.B.1.e	Emprendedora	OI	5.66
11-9031.00	1.B.1.f	Convencional	OI	3.00
11-9031.00	1.B.1.g	Punto culminante del primer interés	IH	4.00
11-9031.00	1.B.1.h	Punto culminante del segundo interés	IH	5.00
11-9031.00	1.B.1.i	Punto culminante del tercer interés	IH	2.00
11-9032.00	1.B.1.a	Realista	OI	2.00
11-9032.00	1.B.1.b	Investigadora	OI	4.33
11-9032.00	1.B.1.c	Artística	OI	3.66
11-9032.00	1.B.1.d	Social	OI	6.66
11-9032.00	1.B.1.e	Emprendedora	OI	5.66
11-9032.00	1.B.1.f	Convencional	OI	3.00
11-9032.00	1.B.1.g	Punto culminante del primer interés	IH	4.00
11-9032.00	1.B.1.h	Punto culminante del segundo interés	IH	5.00
11-9032.00	1.B.1.i	Punto culminante del tercer interés	IH	2.00
11-9033.00	1.B.1.a	Realista	OI	2.00
11-9033.00	1.B.1.b	Investigadora	OI	4.66
11-9033.00	1.B.1.c	Artística	OI	3.00
11-9033.00	1.B.1.d	Social	OI	4.66
11-9033.00	1.B.1.e	Emprendedora	OI	6.33
11-9033.00	1.B.1.f	Convencional	OI	4.66
11-9033.00	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-9033.00	1.B.1.h	Punto culminante del segundo interés	IH	4.00
11-9033.00	1.B.1.i	Punto culminante del tercer interés	IH	6.00
11-9041.00	1.B.1.a	Realista	OI	5.00
11-9041.00	1.B.1.b	Investigadora	OI	5.00
11-9041.00	1.B.1.c	Artística	OI	2.33
11-9041.00	1.B.1.d	Social	OI	2.66
11-9041.00	1.B.1.e	Emprendedora	OI	6.33
11-9041.00	1.B.1.f	Convencional	OI	4.66
11-9041.00	1.B.1.g	Punto culminante del primer interés	IH	5.00
11-9041.00	1.B.1.h	Punto culminante del segundo interés	IH	1.00
