O*NET-SOC Code	Element ID	Element Name (SP)	Scale ID	Data Value
11-1011.01	2.C.1.a	Administración y dirección	IM	5.00
11-1011.01	2.C.1.a	Administración y dirección	LV	6.00
11-1011.01	2.C.1.b	De oficina	IM	2.66
11-1011.01	2.C.1.b	De oficina	LV	3.50
11-1011.01	2.C.1.c	Economía y contabilidad	IM	3.83
11-1011.01	2.C.1.c	Economía y contabilidad	LV	5.00
11-1011.01	2.C.1.d	Ventas y mercadotecnia	IM	2.83
11-1011.01	2.C.1.d	Ventas y mercadotecnia	LV	3.33
11-1011.01	2.C.1.e	Servicio personal al cliente	IM	3.00
11-1011.01	2.C.1.e	Servicio personal al cliente	LV	4.00
11-1011.01	2.C.1.f	Recursos humanos y de personal	IM	3.83
11-1011.01	2.C.1.f	Recursos humanos y de personal	LV	5.33
11-1011.01	2.C.10	Transporte	IM	1.50
11-1011.01	2.C.10	Transporte	LV	1.00
11-1011.01	2.C.2.a	Producción y procesamiento	IM	1.33
11-1011.01	2.C.2.a	Producción y procesamiento	LV	1.00
11-1011.01	2.C.2.b	Producción de alimentos	IM	1.00
11-1011.01	2.C.2.b	Producción de alimentos	LV	0.33
11-1011.01	2.C.3.a	Computadoras y electrónicos	IM	2.16
11-1011.01	2.C.3.a	Computadoras y electrónicos	LV	2.50
11-1011.01	2.C.3.b	Ingeniería y tecnología	IM	1.00
11-1011.01	2.C.3.b	Ingeniería y tecnología	LV	0.16
11-1011.01	2.C.3.c	Diseño	IM	1.00
11-1011.01	2.C.3.c	Diseño	LV	0.16
11-1011.01	2.C.3.d	Construcción	IM	1.00
11-1011.01	2.C.3.d	Construcción	LV	0.33
11-1011.01	2.C.3.e	Mecánica	IM	1.00
11-1011.01	2.C.3.e	Mecánica	LV	0.50
11-1011.01	2.C.4.a	Matemáticas	IM	3.66
11-1011.01	2.C.4.a	Matemáticas	LV	4.16
11-1011.01	2.C.4.b	Física	IM	1.00
11-1011.01	2.C.4.b	Física	LV	0.16
11-1011.01	2.C.4.c	Química	IM	1.00
11-1011.01	2.C.4.c	Química	LV	0.33
11-1011.01	2.C.4.d	Biología	IM	1.00
11-1011.01	2.C.4.d	Biología	LV	0.50
11-1011.01	2.C.4.e	Psicología	IM	3.33
11-1011.01	2.C.4.e	Psicología	LV	4.16
11-1011.01	2.C.4.f	Sociología y antropología	IM	2.50
11-1011.01	2.C.4.f	Sociología y antropología	LV	2.50
11-1011.01	2.C.4.g	Geografía	IM	2.00
11-1011.01	2.C.4.g	Geografía	LV	2.50
11-1011.01	2.C.5.a	Medicina y odontología	IM	1.00
11-1011.01	2.C.5.a	Medicina y odontología	LV	0.33
11-1011.01	2.C.5.b	Terapia y orientación	IM	1.66
11-1011.01	2.C.5.b	Terapia y orientación	LV	1.50
11-1011.01	2.C.6	Educación y entrenamiento	IM	4.00
11-1011.01	2.C.6	Educación y entrenamiento	LV	5.50
11-1011.01	2.C.7.a	Idioma inglés	IM	4.66
11-1011.01	2.C.7.a	Idioma inglés	LV	4.66
11-1011.01	2.C.7.b	Idioma extranjero	IM	2.16
11-1011.01	2.C.7.b	Idioma extranjero	LV	2.66
11-1011.01	2.C.7.c	Bellas artes	IM	1.00
11-1011.01	2.C.7.c	Bellas artes	LV	0.33
