ELEMENT ID	ELEMENT NAME	DESCRIPTION
1	Características del trabajador	Características del trabajador
1.A	Aptitudes	Características permanentes del individuo que influyen en su desempeño laboral.
1.A.1	Aptitudes cognitivas	Aptitudes que influyen en la adquisición de conocimiento y en la aplicación del mismo para resolver problemas.
1.A.1.a	Aptitudes verbales	Aptitudes que influyen en la adquisición de información verbal y en la aplicación de la misma a la resolución de problemas.
1.A.1.a.1	Comprensión oral	La aptitud para escuchar y entender la información e ideas que se presentan oralmente a través de palabras y frases.
1.A.1.a.2	Comprensión escrita	La aptitud para leer y entender la información e ideas que se presentan por escrito.
1.A.1.a.3	Expresión oral	La aptitud para comunicar oralmente información e ideas de tal manera que otros las entiendan.
1.A.1.a.4	Expresión escrita	La aptitud para comunicar por escrito información e ideas de tal manera que otros las entiendan.
1.A.1.b	Aptitud para generar ideas y razonar	Aptitudes que influyen en la aplicación y manipulación de información para resolver problemas.
1.A.1.b.1	Fluidez de Ideas	La aptitud para proponer varias ideas sobre un tema (el número de ideas es importante, no su calidad, exactitud, o creatividad).
1.A.1.b.2	Originalidad	La aptitud para proponer ideas originales e inteligentes sobre un tema o situación determinados, o para desarrollar formas creativas de  resolver un problema.
1.A.1.b.3	Susceptibilidad a los problemas	La aptitud para reconocer cuando algo es incorrecto o es probable que salga mal. No implica resolver el problema, sólo reconocer que existe un problema.
1.A.1.b.4	Razonamiento deductivo	La aptitud para aplicar reglas generales a problemas específicos para obtener respuestas que tengan sentido.
1.A.1.b.5	Razonamiento inductivo	La aptitud para combinar diferente información de tal manera que se puedan formar reglas generales o llegar a conclusiones (incluye el encontrar una relación entre eventos aparentemente no relacionados).
1.A.1.b.6	Clasificación de información	La aptitud para colocar objetos o acciones en un cierto orden o modelo de acuerdo con una regla específica o con un conjunto de reglas (por ejemplo, un conjunto de números, cartas, palabras, imágenes, operaciones matemáticas).
1.A.1.b.7	Flexibilidad para categorizar	La aptitud para generar o utilizar diferentes conjuntos de reglas para combinar o agrupar objetos de diferentes maneras.
1.A.1.c	Aptitudes cuantitativas	Aptitudes que influyen en la solución de problemas, incluyendo operaciones matemáticas.
1.A.1.c.1	Razonamiento matemático	La aptitud para elegir los métodos matemáticos o las fórmulas correctas para resolver un problema.
1.A.1.c.2	Facilidad para los números	La aptitud para sumar, restar, multiplicar o dividir rápida y correctamente.
1.A.1.d	Memoria	Las aptitudes relacionadas con la memorización de información disponible.
1.A.1.d.1	Memorización	La aptitud para recordar información tal como palabras, números, imágenes y procedimientos.
1.A.1.e	Aptitudes de percepción	Las aptitudes relacionadas con la adquisición y organización de información visual.
1.A.1.e.1	Rapidez para llegar a conclusiones	La aptitud para entender rápidamente, combinar y organizar información en modelos que tengan significado.
1.A.1.e.2	Flexibilidad para llegar a conclusiones	La aptitud para identificar o detectar un modelo conocido (tal como una figura, objeto, palabra o sonido) que está oculto entre otros de distracción.
1.A.1.e.3	Rapidez de percepción	La aptitud para comparar rápidamente y con precisión similitudes y diferencias entre grupos de cartas, números, objetos, imágenes o modelos.  Las cosas que se van a comparar pueden ser mostradas al mismo tiempo o una después de la otra. Esta aptitud también incluye el comparar un objeto que se mostró con un objeto que se recuerde.
1.A.1.f	Aptitudes respecto al espacio que lo rodea	Las aptitudes relacionadas con la manipulación y organización de información relacionada con el espacio que lo rodea.
1.A.1.f.1	Orientación respecto al espacio que lo rodea	La aptitud para conocer su situación en relación con el medio que lo rodea o para conocer donde se encuentran otros objetos en relación consigo mismo.
