O*NET-SOC CODE	TITLE	DESCRIPTION
11-1011.00	Directores de empresa	Determinan y formulan políticas y se ocupan de la dirección general de compañías u organizaciones de los sectores público y privado conforme a las directrices establecidas por la junta directiva u otro órgano rector similar. Planifican, dirigen o coordinan las actividades operacionales en el más alto nivel de gestión con el concurso de ejecutivos subordinados y de los gerentes de personal.
11-1011.01	Ejecutivos del sector público	Determinan y formulan ordenanzas públicas y además conducen la dirección general de las actividades del gobierno a nivel federal, estatal, local o internacional. Planean, dirigen y coordinan las actividades operativas al más alto nivel administrativo con la ayuda de administradores públicos que están bajo su cargo.
11-1011.02	Ejecutivos del sector privado	Determinan y formulan los reglamentos y estrategias de la empresa y además conducen la dirección general de las organizaciones del sector privado. Planean, dirigen y coordinan las actividades operativas al más alto nivel administrativo con la ayuda de gerentes que están bajo su cargo.
11-1021.00	Gerentes generales y de operaciones	Planifican, dirigen y coordinan las operaciones de compañías u organizaciones de los sectores público y privado. Entre sus deberes y responsabilidades se incluye la formulación de políticas, la gestión de las operaciones cotidianas, y la planificación del empleo de materiales y recursos humanos; sin embargo, dichos deberes y responsabilidades son de índole demasiado diversa y general para que puedan clasificarse dentro de una esfera funcional determinada de gestión o administración, tales como personal, compras o servicios administrativos. Incluye a  propietarios y gerentes que encabezan pequeños establecimientos comerciales y cuyos deberes son principalmente gerenciales.
11-1031.00	Miembros de los cuerpos legislativos	Redactan leyes y estatutos en los niveles federal, estatal o local.
11-2011.00	Gerentes de publicidad y promoción	Planifican y dirigen las políticas y programas de publicidad y producen materiales colaterales, tales como carteles, concursos, cupones, regalos, a fin de despertar mayor interés por la compra de un producto o servicio para un departamento, toda una organización, o para una cuenta determinada.
11-2021.00	Gerentes de comercialización	Determinan la demanda de los productos y servicios que ofrece una firma y sus competidores e identifican a posibles clientes. Desarrollan estrategias de precios con el objetivo de elevar al máximo las ganancias y la participación de la firma en el mercado al tiempo que se garantiza la satisfacción de los clientes de la firma. Supervisan el desarrollo de los productos y siguen de cerca las tendencias que apuntan hacia la necesidad de nuevos productos o servicios.
11-2022.00	Gerentes de ventas	Dirigen la distribución y el movimiento real de un producto o servicio al cliente. Coordinan la distribución de las ventas estableciendo territorios, cuotas y metas de ventas, y creando programas de entrenamiento para los representantes de ventas. Examinan las estadísticas de ventas recopiladas por el personal a fin de determinar las posibilidades de ventas y los requisitos de inventario y seguir de cerca las preferencias de los clientes.
11-2031.00	Gerentes de relaciones públicas	Planifican y dirigen los programas de relaciones públicas diseñados para crear y mantener una imagen pública favorable del empleador o cliente, o, si se el objetivo es la obtención de fondos, planifican y dirigen actividades para recabar y abastecer de fondos proyectos especiales y organizaciones sin fines de lucro.
11-3011.00	Gerentes de servicios administrativos	Planifican, dirigen y coordinan los servicios de apoyo de una organización, tales como mantenimiento de registros, distribución de correo, telefonista/recepcionista, y otros servicios de apoyo administrativo. Pueden supervisar la planificación y mantenimiento de las instalaciones y los servicios y las operaciones de custodia.
11-3021.00	Gerentes de sistemas informáticos y de información	Planifican, dirigen y coordinan actividades en campos tales como el tratamiento electrónico de datos, sistemas de información, análisis de sistemas y programación informática.
11-3031.00	Gerentes de servicios financieros	Planifican, dirigen y coordinan las actividades de contabilidad, inversiones, bancarias, de seguros, valores de una sucursal, oficina o departamento en un establecimiento.
11-3031.01	Tesoreros, contralores y directores de finanzas	Planean, dirigen y coordinan las actividades financieras de una empresa al más alto nivel administrativo. Se incluye a los directores de las reservas financieras.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Dirigen y coordinan las actividades financieras de los empleados de una organización ya sea en las sucursales, oficinas o en los departamentos de la misma, por ejemplo: la sucursal de un banco, una agencia de corredores de bolsa, el departamento de seguros o el departamento de crédito.
11-3040.00	Gerentes de recursos humanos	Planifican, dirigen y coordinan las actividades de administración de recursos humanos en una organización para maximizar el uso estratégico de recursos humanos y mantener funciones como las de indemnización, reclutamiento y políticas del personal, y cumplimiento reglamentario.
11-3041.00	Gerentes de indemnizaciones y prestaciones	Planifican, dirigen y coordinan las actividades relacionadas con las indemnizaciones y prestaciones y el personal de una organización.
11-3042.00	Gerentes de capacitación y desarrollo	Planifican, dirigen y coordinan las actividades de capacitación y desarrollo y del personal de una organización.
