O*NET-SOC Code	Element ID	Element Name (SP)	Scale ID	Data Value
11-1011.01	2.A.1.a	Comprensión de lectura	IM	4.50
11-1011.01	2.A.1.a	Comprensión de lectura	LV	5.66
11-1011.01	2.A.1.b	Audición Participativa	IM	4.66
11-1011.01	2.A.1.b	Audición Participativa	LV	5.50
11-1011.01	2.A.1.c	Escribir	IM	4.83
11-1011.01	2.A.1.c	Escribir	LV	5.66
11-1011.01	2.A.1.d	Hablar	IM	4.83
11-1011.01	2.A.1.d	Hablar	LV	5.66
11-1011.01	2.A.1.e	Matemáticas	IM	4.00
11-1011.01	2.A.1.e	Matemáticas	LV	4.33
11-1011.01	2.A.1.f	Ciencia	IM	1.33
11-1011.01	2.A.1.f	Ciencia	LV	0.66
11-1011.01	2.A.2.a	Razonamiento crítico	IM	4.66
11-1011.01	2.A.2.a	Razonamiento crítico	LV	5.83
11-1011.01	2.A.2.b	Aprendizaje activo	IM	4.33
11-1011.01	2.A.2.b	Aprendizaje activo	LV	5.50
11-1011.01	2.A.2.c	Estrategias para el aprendizaje	IM	3.00
11-1011.01	2.A.2.c	Estrategias para el aprendizaje	LV	4.33
11-1011.01	2.A.2.d	Supervisión	IM	4.33
11-1011.01	2.A.2.d	Supervisión	LV	5.83
11-1011.01	2.B.1.a	Perspicacia social	IM	4.00
11-1011.01	2.B.1.a	Perspicacia social	LV	4.50
11-1011.01	2.B.1.b	Coordinación	IM	4.66
11-1011.01	2.B.1.b	Coordinación	LV	6.33
11-1011.01	2.B.1.c	Persuasión	IM	3.50
11-1011.01	2.B.1.c	Persuasión	LV	5.00
11-1011.01	2.B.1.d	Negociación	IM	3.83
11-1011.01	2.B.1.d	Negociación	LV	4.83
11-1011.01	2.B.1.e	Instruir	IM	2.66
11-1011.01	2.B.1.e	Instruir	LV	3.33
11-1011.01	2.B.1.f	Orientación al servicio	IM	2.50
11-1011.01	2.B.1.f	Orientación al servicio	LV	3.33
11-1011.01	2.B.2.i	Resolver problemas complejos	IM	4.10
11-1011.01	2.B.2.i	Resolver problemas complejos	LV	5.39
11-1011.01	2.B.3.a	Análisis de operaciones	IM	2.66
11-1011.01	2.B.3.a	Análisis de operaciones	LV	3.33
11-1011.01	2.B.3.b	Diseño de tecnología	IM	1.00
11-1011.01	2.B.3.b	Diseño de tecnología	LV	0.16
11-1011.01	2.B.3.c	Selección de equipo	IM	1.66
11-1011.01	2.B.3.c	Selección de equipo	LV	1.50
11-1011.01	2.B.3.d	Instalación	IM	1.66
11-1011.01	2.B.3.d	Instalación	LV	1.33
11-1011.01	2.B.3.e	Programación	IM	1.00
11-1011.01	2.B.3.e	Programación	LV	0.33
11-1011.01	2.B.3.g	Vigilancia de operaciones	IM	1.00
11-1011.01	2.B.3.g	Vigilancia de operaciones	LV	0.50
11-1011.01	2.B.3.h	Operación y control	IM	1.66
11-1011.01	2.B.3.h	Operación y control	LV	2.16
11-1011.01	2.B.3.j	Mantenimiento del equipo	IM	1.00
11-1011.01	2.B.3.j	Mantenimiento del equipo	LV	0.50
11-1011.01	2.B.3.k	Resolver imprevistos	IM	1.00
11-1011.01	2.B.3.k	Resolver imprevistos	LV	0.50
11-1011.01	2.B.3.l	Reparar	IM	1.00
11-1011.01	2.B.3.l	Reparar	LV	0.33
11-1011.01	2.B.3.m	Análisis del control de calidad	IM	1.75
11-1011.01	2.B.3.m	Análisis del control de calidad	LV	1.75
11-1011.01	2.B.4.e	Criterio y toma de decisiones	IM	4.50
11-1011.01	2.B.4.e	Criterio y toma de decisiones	LV	6.00
11-1011.01	2.B.4.g	Análisis de sistemas	IM	4.10
11-1011.01	2.B.4.g	Análisis de sistemas	LV	5.55
11-1011.01	2.B.4.h	Evaluación de sistemas	IM	4.24
11-1011.01	2.B.4.h	Evaluación de sistemas	LV	5.74
11-1011.01	2.B.5.a	Administración del tiempo	IM	3.00
11-1011.01	2.B.5.a	Administración del tiempo	LV	4.50
11-1011.01	2.B.5.b	Administración de recursos financieros	IM	4.33
11-1011.01	2.B.5.b	Administración de recursos financieros	LV	5.50
11-1011.01	2.B.5.c	Administración de recursos materiales	IM	2.66
11-1011.01	2.B.5.c	Administración de recursos materiales	LV	3.83
11-1011.01	2.B.5.d	Administración de los recursos del personal	IM	4.33
11-1011.01	2.B.5.d	Administración de los recursos del personal	LV	5.16
11-1011.02	2.A.1.a	Comprensión de lectura	IM	4.00
11-1011.02	2.A.1.a	Comprensión de lectura	LV	4.83
11-1011.02	2.A.1.b	Audición Participativa	IM	3.83
11-1011.02	2.A.1.b	Audición Participativa	LV	5.00
11-1011.02	2.A.1.c	Escribir	IM	4.00
11-1011.02	2.A.1.c	Escribir	LV	5.00
11-1011.02	2.A.1.d	Hablar	IM	4.33
11-1011.02	2.A.1.d	Hablar	LV	5.00
11-1011.02	2.A.1.e	Matemáticas	IM	3.33
11-1011.02	2.A.1.e	Matemáticas	LV	4.00
11-1011.02	2.A.1.f	Ciencia	IM	1.16
11-1011.02	2.A.1.f	Ciencia	LV	0.50
11-1011.02	2.A.2.a	Razonamiento crítico	IM	4.16
11-1011.02	2.A.2.a	Razonamiento crítico	LV	5.33
11-1011.02	2.A.2.b	Aprendizaje activo	IM	3.50
11-1011.02	2.A.2.b	Aprendizaje activo	LV	5.00
11-1011.02	2.A.2.c	Estrategias para el aprendizaje	IM	2.50
11-1011.02	2.A.2.c	Estrategias para el aprendizaje	LV	3.83
11-1011.02	2.A.2.d	Supervisión	IM	4.16
11-1011.02	2.A.2.d	Supervisión	LV	5.33
11-1011.02	2.B.1.a	Perspicacia social	IM	3.33
11-1011.02	2.B.1.a	Perspicacia social	LV	4.66
11-1011.02	2.B.1.b	Coordinación	IM	4.83
11-1011.02	2.B.1.b	Coordinación	LV	6.16
11-1011.02	2.B.1.c	Persuasión	IM	3.33
11-1011.02	2.B.1.c	Persuasión	LV	4.33
11-1011.02	2.B.1.d	Negociación	IM	3.33
11-1011.02	2.B.1.d	Negociación	LV	4.66
11-1011.02	2.B.1.e	Instruir	IM	2.16
11-1011.02	2.B.1.e	Instruir	LV	2.83
11-1011.02	2.B.1.f	Orientación al servicio	IM	2.16
11-1011.02	2.B.1.f	Orientación al servicio	LV	3.66
11-1011.02	2.B.2.i	Resolver problemas complejos	IM	3.83
11-1011.02	2.B.2.i	Resolver problemas complejos	LV	5.12
11-1011.02	2.B.3.a	Análisis de operaciones	IM	3.00
11-1011.02	2.B.3.a	Análisis de operaciones	LV	4.16
11-1011.02	2.B.3.b	Diseño de tecnología	IM	1.16
11-1011.02	2.B.3.b	Diseño de tecnología	LV	0.50
11-1011.02	2.B.3.c	Selección de equipo	IM	2.00
11-1011.02	2.B.3.c	Selección de equipo	LV	3.33
11-1011.02	2.B.3.d	Instalación	IM	1.00
11-1011.02	2.B.3.d	Instalación	LV	0.50
11-1011.02	2.B.3.e	Programación	IM	1.00
11-1011.02	2.B.3.e	Programación	LV	0.50
11-1011.02	2.B.3.g	Vigilancia de operaciones	IM	1.00
11-1011.02	2.B.3.g	Vigilancia de operaciones	LV	0.83
11-1011.02	2.B.3.h	Operación y control	IM	1.33
11-1011.02	2.B.3.h	Operación y control	LV	1.33
11-1011.02	2.B.3.j	Mantenimiento del equipo	IM	1.00
11-1011.02	2.B.3.j	Mantenimiento del equipo	LV	0.33
11-1011.02	2.B.3.k	Resolver imprevistos	IM	1.33
11-1011.02	2.B.3.k	Resolver imprevistos	LV	0.66
11-1011.02	2.B.3.l	Reparar	IM	1.00
11-1011.02	2.B.3.l	Reparar	LV	0.33
11-1011.02	2.B.3.m	Análisis del control de calidad	IM	1.58
11-1011.02	2.B.3.m	Análisis del control de calidad	LV	1.58
11-1011.02	2.B.4.e	Criterio y toma de decisiones	IM	4.66
11-1011.02	2.B.4.e	Criterio y toma de decisiones	LV	6.16
11-1011.02	2.B.4.g	Análisis de sistemas	IM	4.38
11-1011.02	2.B.4.g	Análisis de sistemas	LV	5.77
11-1011.02	2.B.4.h	Evaluación de sistemas	IM	4.50
11-1011.02	2.B.4.h	Evaluación de sistemas	LV	5.91
11-1011.02	2.B.5.a	Administración del tiempo	IM	4.00
11-1011.02	2.B.5.a	Administración del tiempo	LV	5.16
11-1011.02	2.B.5.b	Administración de recursos financieros	IM	4.50
11-1011.02	2.B.5.b	Administración de recursos financieros	LV	5.66
11-1011.02	2.B.5.c	Administración de recursos materiales	IM	3.50
11-1011.02	2.B.5.c	Administración de recursos materiales	LV	4.83
11-1011.02	2.B.5.d	Administración de los recursos del personal	IM	4.00
11-1011.02	2.B.5.d	Administración de los recursos del personal	LV	5.33
11-2011.00	2.A.1.a	Comprensión de lectura	IM	4.16
11-2011.00	2.A.1.a	Comprensión de lectura	LV	5.00
11-2011.00	2.A.1.b	Audición Participativa	IM	4.00
11-2011.00	2.A.1.b	Audición Participativa	LV	4.50
11-2011.00	2.A.1.c	Escribir	IM	3.33
11-2011.00	2.A.1.c	Escribir	LV	4.33
11-2011.00	2.A.1.d	Hablar	IM	4.16
11-2011.00	2.A.1.d	Hablar	LV	4.66
11-2011.00	2.A.1.e	Matemáticas	IM	2.33
11-2011.00	2.A.1.e	Matemáticas	LV	3.33
11-2011.00	2.A.1.f	Ciencia	IM	1.00
11-2011.00	2.A.1.f	Ciencia	LV	0.16
11-2011.00	2.A.2.a	Razonamiento crítico	IM	4.00
11-2011.00	2.A.2.a	Razonamiento crítico	LV	4.50
11-2011.00	2.A.2.b	Aprendizaje activo	IM	3.66
11-2011.00	2.A.2.b	Aprendizaje activo	LV	4.50
11-2011.00	2.A.2.c	Estrategias para el aprendizaje	IM	2.50
11-2011.00	2.A.2.c	Estrategias para el aprendizaje	LV	3.83
11-2011.00	2.A.2.d	Supervisión	IM	3.83
11-2011.00	2.A.2.d	Supervisión	LV	4.66
11-2011.00	2.B.1.a	Perspicacia social	IM	3.83
11-2011.00	2.B.1.a	Perspicacia social	LV	4.00
11-2011.00	2.B.1.b	Coordinación	IM	4.50
11-2011.00	2.B.1.b	Coordinación	LV	5.33
11-2011.00	2.B.1.c	Persuasión	IM	3.00
11-2011.00	2.B.1.c	Persuasión	LV	3.83
11-2011.00	2.B.1.d	Negociación	IM	2.50
11-2011.00	2.B.1.d	Negociación	LV	3.33
11-2011.00	2.B.1.e	Instruir	IM	2.66
11-2011.00	2.B.1.e	Instruir	LV	3.50
11-2011.00	2.B.1.f	Orientación al servicio	IM	3.00
11-2011.00	2.B.1.f	Orientación al servicio	LV	3.66
11-2011.00	2.B.2.i	Resolver problemas complejos	IM	3.91
11-2011.00	2.B.2.i	Resolver problemas complejos	LV	4.78
11-2011.00	2.B.3.a	Análisis de operaciones	IM	3.33
11-2011.00	2.B.3.a	Análisis de operaciones	LV	3.50
11-2011.00	2.B.3.b	Diseño de tecnología	IM	2.00
11-2011.00	2.B.3.b	Diseño de tecnología	LV	2.00
11-2011.00	2.B.3.c	Selección de equipo	IM	2.50
11-2011.00	2.B.3.c	Selección de equipo	LV	2.83
11-2011.00	2.B.3.d	Instalación	IM	1.83
11-2011.00	2.B.3.d	Instalación	LV	1.50
11-2011.00	2.B.3.e	Programación	IM	1.16
11-2011.00	2.B.3.e	Programación	LV	0.66
11-2011.00	2.B.3.g	Vigilancia de operaciones	IM	1.00
11-2011.00	2.B.3.g	Vigilancia de operaciones	LV	0.33
11-2011.00	2.B.3.h	Operación y control	IM	2.00
11-2011.00	2.B.3.h	Operación y control	LV	1.83
11-2011.00	2.B.3.j	Mantenimiento del equipo	IM	1.00
11-2011.00	2.B.3.j	Mantenimiento del equipo	LV	0.16
11-2011.00	2.B.3.k	Resolver imprevistos	IM	1.00
11-2011.00	2.B.3.k	Resolver imprevistos	LV	0.33
11-2011.00	2.B.3.l	Reparar	IM	1.00
11-2011.00	2.B.3.l	Reparar	LV	0.33
11-2011.00	2.B.3.m	Análisis del control de calidad	IM	2.58
11-2011.00	2.B.3.m	Análisis del control de calidad	LV	2.75
11-2011.00	2.B.4.e	Criterio y toma de decisiones	IM	4.00
11-2011.00	2.B.4.e	Criterio y toma de decisiones	LV	4.83
11-2011.00	2.B.4.g	Análisis de sistemas	IM	3.55
11-2011.00	2.B.4.g	Análisis de sistemas	LV	4.33
11-2011.00	2.B.4.h	Evaluación de sistemas	IM	3.83
11-2011.00	2.B.4.h	Evaluación de sistemas	LV	4.83
11-2011.00	2.B.5.a	Administración del tiempo	IM	4.16
11-2011.00	2.B.5.a	Administración del tiempo	LV	4.50
11-2011.00	2.B.5.b	Administración de recursos financieros	IM	3.16
11-2011.00	2.B.5.b	Administración de recursos financieros	LV	3.66
11-2011.00	2.B.5.c	Administración de recursos materiales	IM	3.33
11-2011.00	2.B.5.c	Administración de recursos materiales	LV	4.00
11-2011.00	2.B.5.d	Administración de los recursos del personal	IM	4.00
11-2011.00	2.B.5.d	Administración de los recursos del personal	LV	4.00
11-2021.00	2.A.1.a	Comprensión de lectura	IM	4.33
11-2021.00	2.A.1.a	Comprensión de lectura	LV	4.83
11-2021.00	2.A.1.b	Audición Participativa	IM	4.50
11-2021.00	2.A.1.b	Audición Participativa	LV	4.66
11-2021.00	2.A.1.c	Escribir	IM	3.83
11-2021.00	2.A.1.c	Escribir	LV	4.66
11-2021.00	2.A.1.d	Hablar	IM	4.83
11-2021.00	2.A.1.d	Hablar	LV	5.00
11-2021.00	2.A.1.e	Matemáticas	IM	2.66
11-2021.00	2.A.1.e	Matemáticas	LV	3.33
11-2021.00	2.A.1.f	Ciencia	IM	1.00
11-2021.00	2.A.1.f	Ciencia	LV	0.66
11-2021.00	2.A.2.a	Razonamiento crítico	IM	4.33
11-2021.00	2.A.2.a	Razonamiento crítico	LV	4.83
11-2021.00	2.A.2.b	Aprendizaje activo	IM	4.16
11-2021.00	2.A.2.b	Aprendizaje activo	LV	4.83
11-2021.00	2.A.2.c	Estrategias para el aprendizaje	IM	2.33
11-2021.00	2.A.2.c	Estrategias para el aprendizaje	LV	3.83
11-2021.00	2.A.2.d	Supervisión	IM	3.66
11-2021.00	2.A.2.d	Supervisión	LV	4.50
11-2021.00	2.B.1.a	Perspicacia social	IM	4.16
11-2021.00	2.B.1.a	Perspicacia social	LV	4.83
11-2021.00	2.B.1.b	Coordinación	IM	4.33
11-2021.00	2.B.1.b	Coordinación	LV	5.50
11-2021.00	2.B.1.c	Persuasión	IM	3.66
11-2021.00	2.B.1.c	Persuasión	LV	4.50
11-2021.00	2.B.1.d	Negociación	IM	3.66
11-2021.00	2.B.1.d	Negociación	LV	4.66
11-2021.00	2.B.1.e	Instruir	IM	1.83
11-2021.00	2.B.1.e	Instruir	LV	2.66
11-2021.00	2.B.1.f	Orientación al servicio	IM	2.83
11-2021.00	2.B.1.f	Orientación al servicio	LV	4.00
11-2021.00	2.B.2.i	Resolver problemas complejos	IM	3.93
11-2021.00	2.B.2.i	Resolver problemas complejos	LV	4.95
11-2021.00	2.B.3.a	Análisis de operaciones	IM	3.16
11-2021.00	2.B.3.a	Análisis de operaciones	LV	3.50
11-2021.00	2.B.3.b	Diseño de tecnología	IM	1.00
11-2021.00	2.B.3.b	Diseño de tecnología	LV	0.33
11-2021.00	2.B.3.c	Selección de equipo	IM	1.66
11-2021.00	2.B.3.c	Selección de equipo	LV	2.16
11-2021.00	2.B.3.d	Instalación	IM	1.00
11-2021.00	2.B.3.d	Instalación	LV	0.00
11-2021.00	2.B.3.e	Programación	IM	1.16
11-2021.00	2.B.3.e	Programación	LV	0.50
11-2021.00	2.B.3.g	Vigilancia de operaciones	IM	1.00
11-2021.00	2.B.3.g	Vigilancia de operaciones	LV	0.00
11-2021.00	2.B.3.h	Operación y control	IM	1.33
11-2021.00	2.B.3.h	Operación y control	LV	1.16
11-2021.00	2.B.3.j	Mantenimiento del equipo	IM	1.00
11-2021.00	2.B.3.j	Mantenimiento del equipo	LV	0.16
11-2021.00	2.B.3.k	Resolver imprevistos	IM	1.00
11-2021.00	2.B.3.k	Resolver imprevistos	LV	0.33
11-2021.00	2.B.3.l	Reparar	IM	1.00
11-2021.00	2.B.3.l	Reparar	LV	0.33
11-2021.00	2.B.3.m	Análisis del control de calidad	IM	1.75
11-2021.00	2.B.3.m	Análisis del control de calidad	LV	1.50
11-2021.00	2.B.4.e	Criterio y toma de decisiones	IM	4.33
11-2021.00	2.B.4.e	Criterio y toma de decisiones	LV	5.50
11-2021.00	2.B.4.g	Análisis de sistemas	IM	4.11
11-2021.00	2.B.4.g	Análisis de sistemas	LV	5.83
11-2021.00	2.B.4.h	Evaluación de sistemas	IM	3.49
11-2021.00	2.B.4.h	Evaluación de sistemas	LV	4.66
11-2021.00	2.B.5.a	Administración del tiempo	IM	3.16
11-2021.00	2.B.5.a	Administración del tiempo	LV	4.66
