O*NET-SOC CODE	Title	TASKS
11-1011.01	Ejecutivos del sector público	Dirige la organización encargada de administrar y supervisar actividades reguladas por el Estado para interpretar y explicar leyes y garantizar que se cumplan con las mismas.
11-1011.01	Ejecutivos del sector público	Administra, interpreta y explica políticas, reglas, normas y leyes a organizaciones e individuos bajo la autoridad de una comisión o de la legislación correspondiente.
11-1011.01	Ejecutivos del sector público	Dirige y coordina las actividades de los empleados de un organismo público para garantizar la continuidad de operaciones, maximizar rendimiento de inversiones e incrementar la productividad.
11-1011.01	Ejecutivos del sector público	Desarrolla, planea, organiza y administra políticas y procedimientos de una organización para garantizar que se cumplan los objetivos administrativos y operativos.
11-1011.01	Ejecutivos del sector público	Consulta con el personal y con otras personas del gobierno, sector empresarial y organizaciones privadas para discutir asuntos, coordinar actividades y resolver problemas.
11-1011.01	Ejecutivos del sector público	Evalúa resultados de investigaciones, encuestas y estudios para formular políticas y técnicas y recomendar mejoras en las acciones personales, programas o servicios empresariales.
11-1011.01	Ejecutivos del sector público	Dirige, coordina y realiza actividades entre el Gobierno de los Estados Unidos y entidades extranjeras para proporcionar información y promover el interés internacional y la armonía.
11-1011.01	Ejecutivos del sector público	Prepara, revisa y presenta informes relacionados con las actividades, gastos, presupuesto, estatutos gubernamentales y resoluciones, además de otros asuntos que afectan los negocios o programas de servicio.
11-1011.01	Ejecutivos del sector público	Realiza o dirige investigaciones o sesiones para resolver quejas y violaciones a las leyes.
11-1011.01	Ejecutivos del sector público	Desarrolla, dirige y coordina exámenes, contrataciones, capacitación y evaluación del personal.
11-1011.01	Ejecutivos del sector público	Testifica en la corte ante el consejo de control o revisión o en la asamblea legislativa.
11-1011.01	Ejecutivos del sector público	Participa en actividades para promover negocios y ampliar los servicios y proporciona apoyo técnico para la realización de conferencias, seminarios y talleres.
11-1011.01	Ejecutivos del sector público	Prepara discursos, redacta artículos y presenta información para la organización en reuniones o convenciones para promover servicios, intercambiar ideas y lograr los objetivos.
11-1011.01	Ejecutivos del sector público	Planea, promueve, organiza y coordina el programa público de servicio a la comunidad y mantiene una relación de cooperación laboral entre el público y agencias participantes.
11-1011.01	Ejecutivos del sector público	Establece y mantiene un sistema de registro exhaustivo y actualizado de actividades y procedimientos operativos de una empresa.
11-1011.01	Ejecutivos del sector público	Revisa y analiza la legislación, leyes y política pública y recomienda cambios para promover y apoyar los intereses de la población en general, así como de grupos especiales.
11-1011.01	Ejecutivos del sector público	Pone en práctica un plan de acción correctivo para resolver problemas.
11-1011.01	Ejecutivos del sector público	Realiza la negociación de contratos y acuerdos con agencias federales y estatales u otras organizaciones y prepara presupuestos para financiar e implementar programas.
11-1011.01	Ejecutivos del sector público	Dirige y realiza estudios e investigaciones, prepara informes y otras publicaciones de acuerdo a las tendencias operativas, objetivos y logros del programa.
11-1011.01	Ejecutivos del sector público	Prepara presupuesto, dirige y supervisa los gastos de los recursos del departamento.
11-1011.02	Ejecutivos del sector privado	Dirige, planea e implementa políticas y objetivos de una organización o empresa de acuerdo con los estatutos y consejo de administración.
11-1011.02	Ejecutivos del sector privado	Analiza las operaciones para evaluar el rendimiento de la empresa y del personal para así determinar las áreas que necesitan de reducción de costos y de mejoraras al programa.
11-1011.02	Ejecutivos del sector privado	Dirige y coordina las actividades financieras y presupuéstales de una organización para financiar operaciones, maximizar inversiones e incrementar la eficiencia.
11-1011.02	Ejecutivos del sector privado	Dirige y coordina las actividades de empresas o departamentos relacionados con la producción, fijación de precios, ventas y/o distribución de productos.
11-1011.02	Ejecutivos del sector privado	Dirige los departamentos de empresas que no se dedican a la comercialización, tales como publicidad, compras, crédito y contabilidad.
11-1011.02	Ejecutivos del sector privado	Prepara informes y presupuestos.
11-1011.02	Ejecutivos del sector privado	Establece procedimientos de control interno.
11-1011.02	Ejecutivos del sector privado	Dirige los cursos de capacitación y entrenamiento del personal.
11-1011.02	Ejecutivos del sector privado	Administra un programa para la selección de lugares, construcción de edificios, suministro de equipo y de materiales.
11-1011.02	Ejecutivos del sector privado	Examina, selecciona, contrata, transfiere y liquida a empleados.
11-1011.02	Ejecutivos del sector privado	Promueve los objetivos de la institución o empresa ante asociaciones, público, dependencias gubernamentales o grupos comunitarios.
11-1011.02	Ejecutivos del sector privado	Realiza negociaciones o aprueba contratos de proveedores, distribuidores y prestadores de servicios de mantenimiento, conserjería y seguridad.
11-1011.02	Ejecutivos del sector privado	Preside o forma parte del consejo de administración, comités administrativos u otros consejos existentes.
11-1011.02	Ejecutivos del sector privado	Dirige y coordina las actividades de la empresa relacionadas con la compra y venta de productos de inversión y servicios financieros.
11-1011.02	Ejecutivos del sector privado	Asigna o delega responsabilidades a subordinados.
11-1011.02	Ejecutivos del sector privado	Revisa estados financieros e informes de ventas y actividades para garantizar que se logren los objetivos de la organización.
11-1011.02	Ejecutivos del sector privado	Consulta con los miembros del consejo, ejecutivos de la organización y miembros del personal para establecer políticas y formular planes.
11-1011.02	Ejecutivos del sector privado	Dirige las actividades de la organización para planear procedimientos, establecer responsabilidades y coordinar funciones entre los departamentos y zonas.
11-2011.00	Gerentes de publicidad y promoción	Dirige las actividades de empleados encargados de desarrollar y producir anuncios.
11-2011.00	Gerentes de publicidad y promoción	Planea y ejecuta políticas de publicidad de la organización.
11-2011.00	Gerentes de publicidad y promoción	Planea y prepara material de publicidad y de promoción.
11-2011.00	Gerentes de publicidad y promoción	Prepara planes para ampliar el negocio con las cuentas ya establecidas; como agente realiza transacciones de negocios para cuentas publicitarias.
11-2011.00	Gerentes de publicidad y promoción	Monitorea y analiza los resultados de las promociones de ventas para determinar la rentabilidad de la campaña de promoción.
11-2011.00	Gerentes de publicidad y promoción	Supervisa y capacita a los representantes de servicio.
11-2011.00	Gerentes de publicidad y promoción	Consulta publicaciones para obtener información sobre convenciones y eventos sociales y organiza archivo con nombres de posibles clientes con propósitos promocionales.
11-2011.00	Gerentes de publicidad y promoción	Dirige la investigación y desarrollo del producto.
11-2011.00	Gerentes de publicidad y promoción	Ajusta los horarios de transmisión debido a la cancelación de programas.
11-2011.00	Gerentes de publicidad y promoción	Contacta a organizaciones para explicar servicios y prestaciones que ofrece o para obtener utilería, materiales audiovisuales y efectos de sonido.
11-2011.00	Gerentes de publicidad y promoción	Inspecciona las instalaciones de las tiendas asignadas para verificar que cuentan con una seguridad adecuada y que cumplen con los códigos y estatutos de seguridad.
11-2011.00	Gerentes de publicidad y promoción	Dirige la conversión de productos de EUA de acuerdo con normas internacionales.
11-2011.00	Gerentes de publicidad y promoción	Representa a la empresa en reuniones de la asociación de comercio para promover productos.
11-2011.00	Gerentes de publicidad y promoción	Lee publicaciones de comercio y bibliografía profesional para mantenerse informado respecto a tendencias, innovaciones y cambios que afectan la planeación de medios de comunicación.
11-2011.00	Gerentes de publicidad y promoción	Se reúne con clientes para proporcionar una asesoría técnica o mercadológica.
11-2011.00	Gerentes de publicidad y promoción	Coordina actividades de departamentos, tales como ventas, artes gráficas, medios de comunicación, finanzas e investigación.
11-2011.00	Gerentes de publicidad y promoción	Se reúne con directores de departamento y/o personal para discutir temas, tales como: contratos, selección de medios de publicidad o producto que se va a publicitar.
11-2011.00	Gerentes de publicidad y promoción	Inspecciona diseños y copia de la publicidad y edita el guión, videos de audio y video y otro material promocional para cumplir con las especificaciones.
11-2021.00	Gerentes de comercialización	Desarrolla estrategias de mercadotecnia con base en conocimientos sobre políticas del establecimiento, naturaleza del mercado, así como factores de costos y márgenes de utilidades.
11-2021.00	Gerentes de comercialización	Coordina y promociona actividades de mercadotecnia para promover productos y servicios.
11-2021.00	Gerentes de comercialización	Realiza estudios económicos y comerciales para identificar mercados potenciales para productos y servicios.
11-2021.00	Gerentes de comercialización	Realiza consultas con abogados para resolver problemas como la violación del derecho de propiedad intelectual y derechos de autor que se comparten con productores y distribuidores externos.
11-2021.00	Gerentes de comercialización	Prepara informes de actividades de mercadotecnia.
11-2021.00	Gerentes de comercialización	Prepara una lista que describe productos o servicios que se ofrecen y establece precios o tarifas.
11-2021.00	Gerentes de comercialización	Selecciona productos y accesorios que se deben mostrar en el mercado o en exposiciones especiales de producción.
11-2021.00	Gerentes de comercialización	Asesora a empresas y otros grupos respecto a factores locales, nacionales e internacionales que afectan la compra y venta de productos y servicios.
11-2021.00	Gerentes de comercialización	Realiza consultas con personal de compras para obtener un consejo respecto a tipos de productos o servicios que esperan sean requeridos.
11-2021.00	Gerentes de comercialización	Coordina actividades promocionales y exposiciones para comercializar productos y servicios.
11-2021.00	Gerentes de comercialización	Analiza el desarrollo del comercio y consulta revistas de comercio para monitorear las tendencias del mercado y determinar las oportunidades para vender productos.
11-2022.00	Gerentes de ventas	Dirige y coordina actividades relacionadas con ventas de productos manufacturados, lugares de servicio, servicios técnicos, manejando cadenas de ventas al menudeo y publicitando servicios para su publicación.
11-2022.00	Gerentes de ventas	Analiza el potencial de mercadotecnia de locales comerciales nuevos o existentes, estadísticas de ventas y gastos para formular políticas.
11-2022.00	Gerentes de ventas	Platica y consulta con directores de área para planear servicios de publicidad y proporcionar información sobre aparatos, equipos y especificaciones que el cliente requiera.
11-2022.00	Gerentes de ventas	Asesora a concesionarios y distribuidores sobre políticas y procedimientos operativos para asegurar la efectiva funcionalidad de la empresa.
11-2022.00	Gerentes de ventas	Visita a concesionarios que tienen una franquicia para estimular el interés por establecer o expandir programas de arrendamiento.
11-2022.00	Gerentes de ventas	Platica con posibles clientes respecto a necesidades del equipo y los asesora sobre tipos de equipo que comprar.
11-2022.00	Gerentes de ventas	Representa a la compañía en reuniones de asociaciones comerciales para promover productos.
11-2022.00	Gerentes de ventas	Revisa que instalaciones de tiendas asignadas tengan salidas de emergencia adecuadas y que cumplan con códigos y leyes de seguridad.
11-2022.00	Gerentes de ventas	Dirige investigaciones y desarrollo de productos.
11-2022.00	Gerentes de ventas	Dirige la conversión de productos de EUA de acuerdo con normas internacionales.
11-2022.00	Gerentes de ventas	Resuelve quejas del cliente respecto a ventas y servicios.
11-2022.00	Gerentes de ventas	Dirige a asistentes administrativos para llevar un registro de la correspondencia de exportación, peticiones de ofertas y cobro de créditos, así como información actualizada de tarifas, permisos y restricciones.
11-2022.00	Gerentes de ventas	Dirige ventas internacionales y lugares de servicio de la organización.
11-2022.00	Gerentes de ventas	Revisa registros e informes operativos para proyectar ventas y determinar la rentabilidad.
11-2022.00	Gerentes de ventas	Planea y dirige evaluaciones del personal, capacitación y desempeño para desarrollar y controlar ventas y programas de servicios.
11-2022.00	Gerentes de ventas	Dirige, coordina y revisa actividades en contabilidad y registros de ventas y servicios; recibe y expide operaciones.
11-3011.00	Gerentes de servicios administrativos	Coordina actividades del personal administrativo y de asistentes administrativos en el establecimiento u organización.
11-3011.00	Gerentes de servicios administrativos	Prepara y revisa informes y planes operativos para garantizar su precisión y eficiencia.
11-3011.00	Gerentes de servicios administrativos	Formula informes presupuestarios.
11-3011.00	Gerentes de servicios administrativos	Contrata y liquida a personal administrativo y asistentes administrativos.
11-3011.00	Gerentes de servicios administrativos	Da cursos para enseñar procedimientos al personal.
11-3011.00	Gerentes de servicios administrativos	Recomienda métodos para ahorro de costos como cambios de insumos y disposición de registros para mejorar la eficiencia del departamento.
11-3011.00	Gerentes de servicios administrativos	Analiza procesos internos y planea o aplica cambios en políticas y procedimientos para mejorar las operaciones.
11-3021.00	Gerentes de sistemas informáticos y de información	Evalúa propuestas para procesar datos y evalúa la viabilidad del proyecto.
11-3021.00	Gerentes de sistemas informáticos y de información	Dirige operaciones diarias del departamento y coordina actividades de proyectos con otros departamentos.
11-3021.00	Gerentes de sistemas informáticos y de información	Desarrolla y explica objetivos, políticas y procedimientos de la empresa; revisa planes de proyectos.
11-3021.00	Gerentes de sistemas informáticos y de información	Dirige la capacitación de subordinados.
11-3021.00	Gerentes de sistemas informáticos y de información	Participa en la toma de decisiones con respecto al personal.
11-3021.00	Gerentes de sistemas informáticos y de información	Desarrolla normas de desempeño y evalúa el trabajo con base en las normas establecidas.
11-3021.00	Gerentes de sistemas informáticos y de información	Analiza el flujo de trabajo y asigna o planea el trabajo para cumplir con prioridades y objetivos.
11-3021.00	Gerentes de sistemas informáticos y de información	Se reúne con directores, administradores, supervisores, vendedores y otros de cada departamento para pedir su cooperación y resolver problemas.
11-3021.00	Gerentes de sistemas informáticos y de información	Aprueba, prepara, controla y ajusta el presupuesto operativo.
11-3021.00	Gerentes de sistemas informáticos y de información	Realiza consultas con usuarios, directores, vendedores y técnicos para establecer necesidades computacionales y requisitos del sistema.
11-3021.00	Gerentes de sistemas informáticos y de información	Prepara y revisa informes de operación o sobre el avance de proyectos.
11-3031.01	Tesoreros, contralores y directores de finanzas	Coordina y dirige las actividades dentro de una empresa en lo concerniente a la planeación financiera, presupuesto, adquisición de mercancía e inversiones.
11-3031.01	Tesoreros, contralores y directores de finanzas	Prepara o dirige la preparación de informes sintetizando tanto la situación financiera actual de la empresa como la pronosticada para el futuro, actividades comerciales, así como informes requeridos por dependencias reguladoras.
11-3031.01	Tesoreros, contralores y directores de finanzas	Delega la autoridad para que se realicen recibos, desembolsos, operaciones bancarias, así como la protección y cuidado de fondos, títulos de crédito e instrumentos financieros.
11-3031.01	Tesoreros, contralores y directores de finanzas	Analiza operaciones pasadas, presentes y futuras.
11-3031.01	Tesoreros, contralores y directores de finanzas	Explica políticas y prácticas actuales y planea e implementa nuevos procedimientos de operación, a fin de mejorar la eficiencia y reducir costos.
11-3031.01	Tesoreros, contralores y directores de finanzas	Garantiza que las reservas de la institución cumplan con todos los requisitos legales necesarios.
11-3031.01	Tesoreros, contralores y directores de finanzas	Prepara auditorías sobre las cuentas de la empresa.
11-3031.01	Tesoreros, contralores y directores de finanzas	Informa a la administración sobre políticas y objetivos económicos, inversiones y créditos para planes financieros a corto y largo plazo.
11-3031.01	Tesoreros, contralores y directores de finanzas	Evalúa la necesidad de obtener fondos y de invertir el superávit.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Dirige y coordina actividades de empleados encargados de realizar investigaciones crediticias y cobrar cuentas morosas a los clientes.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Planea, dirige y coordina programas de riesgos y seguros de establecimientos para controlar riesgos y pérdidas.
11-3031.02	Gerentes financieros de una sucursal o de un departamento	Dirige una sucursal u oficina de la institución financiera.
